source1_entity_id	candidate_entity_ids
S1-925783039	S2-415733261,S2-762023797
S1-773889195	
S1-377745466	S2-477675434
S1-133037285	
S1-755362802	S2-67505679,S3-444600693,S3-136675280,S2-215182600,S2-895116270,S3-26161361,S2-467948188,S2-8982199,S3-878820114,S2-635228641,S3-878295053,S3-298996001,S3-46768096,S2-642855647,S2-280702058,S3-725749046
S1-851869949	S2-35158435,S2-440137459
S1-785847572	S2-243813488,S2-375938862,S2-528205184,S3-859268022,S3-891626766,S3-678683280,S3-977086194,S2-529867680,S3-586800406,S2-321398182,S2-281309190,S2-761989439,S3-664253519,S3-659206129,S3-12915038
S1-27541239	S2-673704658
S1-629417405	S2-690151442
S1-22305073	S2-612169234,S2-193995593,S3-378551672,S2-516249560,S2-235039028,S2-73037424,S2-785852339,S2-161047745,S2-1722538
S1-504790211	S2-457500956,S2-402816908
S1-564729135	S3-659206129,S2-281309190,S3-12915038,S2-243813488,S3-977086194,S2-561420173,S2-529867680,S3-891626766,S3-678683280,S3-859268022,S2-375938862,S3-664253519,S2-321398182,S3-586800406,S2-761989439
S1-236312382	S2-218208532,S3-988483404
S1-865131206	
S1-626914593	S3-240930945
S1-765734254	S2-869995817,S2-516249560,S2-438182503,S2-904673479,S2-673704658,S3-811855637,S3-8222959,S3-593749288,S3-605495109,S2-492879191,S3-121412624,S3-722381828,S3-112379453,S2-686350780,S2-290146361,S2-625682061,S2-402816908,S3-362638952,S2-241291924,S2-790721694
S1-82053739	S3-335805814,S2-797821871,S3-367524706
S1-309349399	
S1-221443075	S2-722166534,S3-259154367
S1-341506266	S3-797756565,S2-585744040,S2-701477103,S2-971339247,S3-918357967
S1-990319941	
S1-597762257	S3-886815845,S3-726575561
S1-661315962	
S1-716574008	S3-588120445,S3-275360323,S2-64301738,S2-539779970,S2-469073813,S2-109121051,S3-263247365,S3-878820114,S3-306170136,S3-803003378,S3-284546096,S2-6795460
S1-985038901	S2-402816014,S2-555846632,S3-299576808,S2-475524221,S3-891585470,S3-605495109,S2-811863966,S3-75056814,S3-161412777,S3-269888656,S3-181819854,S2-735517191,S3-288750155,S2-563158163,S3-585479914,S3-572598570
S1-404435514	
S1-252242682	
S1-981440385	
S1-883973644	S2-679333576,S3-315861895,S2-623817123,S2-321432050,S2-537858187
S1-17666546	S2-474934237,S3-585479914,S3-8222959,S3-504183980
S1-513115995	S3-999637845,S2-450266205
S1-791217329	S2-552487507,S2-349287094,S2-709626608,S3-447961633,S3-479249803,S2-223038034,S3-572363539,S3-725749046,S3-776815069,S2-952329168,S2-728928259,S3-507578619,S2-379148212,S3-207262214,S2-187514897,S3-210818742,S2-800014563,S3-211882578,S3-659206129,S3-730662073
S1-602913883	S2-161047745,S3-240930945,S3-112379453,S3-288750155,S3-77329533,S2-705827573,S2-652827281,S2-114121811,S3-533193854,S3-504183980
S1-401372098	S2-257885603,S3-911307067,S2-619844913,S2-686350780,S3-341396567,S3-257771188,S3-412197948
S1-796227187	S3-77329533,S2-713920891,S3-973629095,S3-112379453,S3-180062010,S3-532479968,S2-450266205,S3-22467283,S2-193995593,S2-91704178,S3-210476563,S3-8222959,S3-899583090,S2-956608424,S2-912941112,S3-568617496,S2-322211984,S2-622773844,S3-390090152,S3-15177093
S1-945437722	S2-164086509
S1-982210261	S3-232475819,S3-682142621,S3-295478667,S3-730662073,S2-948280510
S1-976369483	S2-792661362,S3-80888417,S3-161412777,S2-64137184,S2-103317508,S3-4573520,S2-673704658,S2-457500956,S2-5405243,S2-56744275,S2-867614780,S3-269888656,S2-630651352,S3-903416633,S2-589492301
S1-370715897	S2-630651352,S2-56744275,S2-461563520,S2-457500956,S3-161412777,S3-533193854,S2-792661362,S3-269888656,S3-903416633,S2-64137184,S3-4573520,S2-103317508,S2-5405243,S3-80888417,S2-867614780,S2-673704658,S2-589492301
S1-27029362	S2-679333576,S2-537858187,S3-315861895,S2-623817123,S3-188810136
S1-145829425	S2-784592218,S3-786009122,S2-484700872,S3-461388509,S2-769858942,S3-53737228
S1-993527714	S2-752363850,S3-566665563
S1-965555167	S3-190231775
S1-151608539	
S1-714672596	S2-479278257,S3-538777867
S1-134898809	S2-218208532,S3-125572762,S2-777625208,S2-26081285,S2-333785505
S1-500841209	S2-440137459,S3-660160649
S1-855787505	S2-70709851
S1-277072715	S3-230314480,S3-619115665,S2-996245861,S3-891901989,S3-439655728,S2-584977605
S1-269656551	S3-81892603,S3-123694229,S3-53737228,S2-91305348,S3-498867067,S2-940708406,S2-379148212,S3-753125827
S1-356020591	S3-988710395,S3-7812561,S2-526991413,S3-105263451,S2-430367614,S3-326049086
S1-627144525	S3-180062010,S2-597159535,S3-159562080,S2-956608424,S2-713920891,S2-912941112,S2-716687956,S3-390090152,S3-973629095,S2-91704178,S3-22467283,S3-568617496,S3-8222959,S3-532479968,S2-450266205,S2-322211984,S3-899583090,S2-193995593,S3-210476563,S2-622773844
S1-514155563	S2-946872072,S3-401540298,S3-474790592
S1-942221484	S2-797821871,S3-335805814,S3-367524706
S1-966462381	S2-709626608,S2-349287094,S3-725749046,S2-552487507,S3-572363539,S2-223038034,S3-507578619,S2-728928259
S1-681392030	S2-605633090,S3-833884099,S2-49714549,S3-136675280,S3-509442398,S3-610402578,S3-35900036,S3-786009122,S2-298914373,S3-53737228
S1-492467148	S3-190231775,S3-827924570,S3-452675423,S2-418551982
S1-791867209	S2-402816908,S3-188810136,S2-532353401,S2-633236997,S3-701705967,S3-889312836,S3-988710395,S2-91704178,S3-343956325,S3-771692836
S1-951599976	S2-1722538,S2-785852339,S2-161047745
S1-315450523	S2-34975790,S2-41847464,S2-679333576,S2-623817123,S3-315861895,S2-537858187
S1-666876590	S3-572363539,S2-971491700,S3-566328140,S3-431503485
S1-913301865	S3-509442398,S2-49714549,S3-833884099,S3-136675280,S3-610402578,S2-298914373,S3-35900036,S2-605633090
S1-216181354	S3-859268022,S3-678683280,S2-243813488,S3-586800406,S3-891626766,S3-977086194,S3-664253519,S2-321398182,S2-761989439,S2-375938862,S2-281309190,S2-529867680,S3-659206129,S3-12915038
S1-454111437	S2-722166534
S1-960158214	S3-112379453,S2-477675434
S1-743171772	S3-551148968
S1-965549055	S3-397757727
S1-947119891	S2-430379962,S3-905910189,S2-690151442,S3-783906913
S1-511561869	S3-308631150,S2-428899461,S2-281309190
S1-302710833	S3-299576808,S2-811863966,S2-402816014,S3-75056814,S3-269888656,S3-161412777,S3-181819854,S3-572598570,S3-288750155,S3-585479914
S1-888660595	S2-224839523,S2-769858942,S3-780880539
S1-684656443	S3-901865937,S3-960981775,S2-44100844,S3-659206129,S3-987031930,S3-755888332,S3-886815845
S1-279914306	S2-526991413,S3-692514298,S3-105263451,S2-374185954,S3-519350515
S1-294547159	S2-40574852
S1-208973592	S2-956811797,S3-510778048
S1-859252896	S2-623817123,S3-879599711,S3-113462535,S3-171901473,S3-105263451
S1-630223771	S3-496785125,S2-895797947,S3-859268022,S2-34449822,S3-566328140,S2-996245861,S3-607506773,S2-850499815
S1-223600564	
S1-72918323	S2-918763928
S1-754175313	S2-168770832,S3-463723999,S3-444600693,S2-684635925,S3-755888332
S1-970518712	S2-763108962,S2-970843942
S1-366329737	S2-281309190,S3-659206129,S3-12915038,S2-243813488,S2-191007167,S3-664253519,S3-586800406,S2-529867680,S3-859268022,S3-977086194,S2-321398182,S2-375938862,S3-678683280,S2-761989439,S3-891626766
S1-708796012	S3-762825829,S2-241291924,S2-888440125
S1-935703127	
S1-981414798	S2-35158435,S2-440137459,S2-689674207
S1-424529930	S3-7812561,S2-713920891,S3-180062010,S3-973629095,S3-390090152,S2-91704178,S2-477675434,S2-956608424,S3-568617496,S2-912941112,S2-193995593,S2-322211984,S3-8222959,S2-622773844,S3-22467283,S2-450266205,S3-988710395,S3-899583090,S3-532479968,S2-716687956
S1-912508322	S3-509442398,S3-136675280,S2-49714549,S2-605633090,S3-833884099,S3-439655728,S3-610402578,S2-996245861,S3-891901989,S2-584977605,S2-298914373,S3-35900036,S3-619115665
S1-846028981	S2-299258785,S3-940228072,S2-415733261
S1-318218643	S3-90100170,S2-153334775
S1-970972284	S3-588120445,S2-423519674,S3-207262214,S3-575968805
S1-435587816	
S1-544301808	S2-384219063,S3-393484059,S3-510778048,S3-7812561,S2-430367614,S3-988710395,S3-326049086
S1-20267366	S2-39617527,S2-983439720,S2-415733261,S3-999637845
S1-379918793	S3-180062010,S2-956608424,S3-8222959,S2-622773844,S3-973629095,S2-91704178,S2-322211984,S2-912941112,S3-568617496,S3-22467283,S2-713920891,S3-390090152,S3-800422479,S3-210476563,S2-450266205,S3-532479968,S2-716687956,S3-899583090,S2-193995593,S3-51937572
S1-106221717	S3-859268022,S3-678683280,S2-117672295,S3-664253519,S3-891626766,S2-308510117,S2-321398182,S2-761989439,S3-586800406,S2-281309190,S3-977086194,S2-529867680,S2-243813488,S2-375938862,S3-659206129,S3-12915038
S1-800482427	S3-97933587
S1-846529766	S3-309601238
S1-761874846	
S1-703200453	S3-35900036,S3-490973637,S3-393744173,S2-663852317,S2-637500424
S1-746273151	S2-716687956,S3-161412777,S2-457500956,S2-630651352,S2-516249560,S3-80888417,S3-903416633,S2-461563520,S3-630633029,S3-533193854,S2-626445420,S3-46986783
S1-432962984	S3-136499130,S3-323153716,S2-633236997,S2-123409799,S3-889312836,S3-988710395,S3-701705967,S3-109335189,S3-188810136,S2-532353401,S2-468234939
S1-500552277	S2-764573417,S3-289677596
S1-446787657	S3-75056814,S3-378551672,S2-792661362,S3-748301268
S1-505869859	S3-753125827,S3-331944027,S2-508602797,S3-548783787
S1-862092661	S2-589492301,S3-971943018,S3-303047307,S3-400079254,S3-51937572,S2-857681318
S1-53323215	S2-761989439,S3-977086194,S3-12915038,S3-859268022,S3-678683280,S2-243813488,S2-375938862,S3-891626766,S2-321398182,S2-529867680,S2-168770832,S3-586800406,S3-664253519,S2-281309190,S3-659206129
