strategy,target,true_matches_recalled,recall,recall_per_target_only,total_candidates,avg_candidates_per_s1,median_candidates_per_s1,p95_candidates_per_s1,max_candidates_per_s1,s1_zero_candidates,s1_zero_pct,reduction_ratio,bucket,total_true_pairs,recalled,missed,country,candidate_limit_k,sample_size,true_pairs_total,recalled_at_k_est,recall_at_k_per_target_sample,recall_at_k_per_target_est,recall_at_k_overall_est,avg_min_block_size,p95_min_block_size,runtime_sec
A_exact_norm_name_S2,S2,510592.0,0.066846,0.138236,7411733.0,7.85,2.0,38.0,414.0,1263179.0,57.2398,0.999999,,,,,,,,,,,,,,,
A_exact_norm_name_S3,S3,531792.0,0.069621,0.13481,7899506.0,8.05,2.0,38.0,425.0,1225186.0,55.5181,0.999999,,,,,,,,,,,,,,,
name_prefix_5_S2,S2,2761145.0,0.361484,0.747545,7554519321.0,3447.43,850.0,12723.0,41215.0,15471.0,0.7011,0.99932,,,,,,,,,,,,,,,
name_prefix_5_S3,S3,2892759.0,0.378714,0.733319,8351305639.0,3811.14,863.0,14364.0,49404.0,15535.0,0.704,0.999284,,,,,,,,,,,,,,,
name_prefix_10_S2,S2,2000065.0,0.261845,0.541492,1652754555.0,814.1,15.0,7125.0,29297.0,173127.0,7.8451,0.999851,,,,,,,,,,,,,,,
name_prefix_10_S3,S3,2061789.0,0.269925,0.522667,1694640033.0,835.03,16.0,7046.0,29498.0,173858.0,7.8782,0.999855,,,,,,,,,,,,,,,
D_name_first_token_S2,S2,2432209.0,0.31842,0.658489,6196647752.0,2964.16,827.0,9561.0,41035.0,5136.0,0.2327,0.999442,,,,,,,,,,,,,,,
D_name_first_token_S3,S3,2554039.0,0.33437,0.647453,6926849322.0,3313.51,831.0,10277.0,51992.0,5173.0,0.2344,0.999406,,,,,,,,,,,,,,,
country_+_name_prefix5_S2,S2,2761145.0,0.361484,0.747545,6129579848.0,2800.54,749.0,10066.0,41204.0,18106.0,0.8205,0.999448,,,,,,,,,,,,,,,
country_+_name_prefix5_S3,S3,2892759.0,0.378714,0.733319,6714223391.0,3067.94,769.0,10238.0,49393.0,18307.0,0.8296,0.999424,,,,,,,,,,,,,,,
country_+_norm_name_S2,S2,510592.0,0.066846,0.138236,7382915.0,7.83,2.0,38.0,414.0,1263995.0,57.2767,0.999999,,,,,,,,,,,,,,,
country_+_norm_name_S3,S3,531792.0,0.069621,0.13481,7844659.0,8.0,2.0,38.0,425.0,1225850.0,55.5482,0.999999,,,,,,,,,,,,,,,
B_exact_norm_address_S2,S2,413044.0,0.054075,0.111826,505873.0,1.47,1.0,3.0,19.0,1861525.0,84.3532,1.0,,,,,,,,,,,,,,,
B_exact_norm_address_S3,S3,170902.0,0.022374,0.043324,205981.0,1.04,1.0,1.0,6.0,2009463.0,91.0569,1.0,,,,,,,,,,,,,,,
country_+_norm_addr_S2,S2,413044.0,0.054075,0.111826,505873.0,1.47,1.0,3.0,19.0,1861525.0,84.3532,1.0,,,,,,,,,,,,,,,
country_+_norm_addr_S3,S3,170902.0,0.022374,0.043324,205981.0,1.04,1.0,1.0,6.0,2009463.0,91.0569,1.0,,,,,,,,,,,,,,,
E_combined_name_or_addr_or_cprefix_S2,S2,2865706.0,0.375173,0.775853,6129590214.0,2777.57,0.0,0.0,41204.0,16358.0,0.7412,0.999448,,,,,,,,,,,,,,,
E_combined_name_or_addr_or_cprefix_S3,S3,3038141.0,0.397748,0.770174,6714242443.0,3042.5,0.0,0.0,49393.0,16822.0,0.7623,0.999424,,,,,,,,,,,,,,,
E_combined_union_S2+S3,S2+S3,5903847.0,0.77292,,12843832657.0,5820.07,,,,,,,,,,,,,,,,,,,,,
,S2,,0.754843,,,,,,,,,,1_match,58750.0,44347.0,14403.0,,,,,,,,,,,
,S2,,0.768246,,,,,,,,,,2-3_matches,1139104.0,875112.0,263992.0,,,,,,,,,,,
,S2,,0.77982,,,,,,,,,,4+_matches,2495765.0,1946247.0,549518.0,,,,,,,,,,,
,S3,,0.772758,,,,,,,,,,1_match,60407.0,46680.0,13727.0,,,,,,,,,,,
,S3,,0.771353,,,,,,,,,,2-3_matches,1203843.0,928588.0,275255.0,,,,,,,,,,,
,S3,,0.769586,,,,,,,,,,4+_matches,2680496.0,2062873.0,617623.0,,,,,,,,,,,
,S2,,0.621333,,,,,,,,,,,1480545.0,919911.0,,India,,,,,,,,,,
,S2,,0.879227,,,,,,,,,,,2213074.0,1945795.0,,US,,,,,,,,,,
,S3,,0.850273,,,,,,,,,,,2365448.0,2011277.0,,US,,,,,,,,,,
,S3,,0.650203,,,,,,,,,,,1579298.0,1026864.0,,India,,,,,,,,,,
,S2,,,,,,,,,,,,,,,,,100.0,14636.0,3693619.0,2718731.0,0.736062,0.736062,0.355931,3935.78,6171.0,0.3523
,S2,,,,,,,,,,,,,,,,,250.0,14636.0,3693619.0,2929456.0,0.793113,0.793113,0.383519,3935.78,6171.0,0.0036
,S2,,,,,,,,,,,,,,,,,500.0,14636.0,3693619.0,3042264.0,0.823654,0.823654,0.398287,3935.78,6171.0,0.0011
,S2,,,,,,,,,,,,,,,,,1000.0,14636.0,3693619.0,3140938.0,0.850369,0.850369,0.411206,3935.78,6171.0,0.0016
,S2,,,,,,,,,,,,,,,,,2500.0,14636.0,3693619.0,3267878.0,0.884736,0.884736,0.427824,3935.78,6171.0,0.0019
,S2,,,,,,,,,,,,,,,,,5000.0,14636.0,3693619.0,3418540.0,0.925526,0.925526,0.447549,3935.78,6171.0,0.0009
,S2,,,,,,,,,,,,,,,,,10000.0,14636.0,3693619.0,3628004.0,0.982236,0.982236,0.474971,3935.78,6171.0,0.0007
,S3,,,,,,,,,,,,,,,,,100.0,15435.0,3944746.0,2834287.0,0.718497,0.718497,0.371059,5491.77,7053.1,0.2346
,S3,,,,,,,,,,,,,,,,,250.0,15435.0,3944746.0,3054079.0,0.774214,0.774214,0.399834,5491.77,7053.1,0.0044
,S3,,,,,,,,,,,,,,,,,500.0,15435.0,3944746.0,3186720.0,0.807839,0.807839,0.417199,5491.77,7053.1,0.0027
,S3,,,,,,,,,,,,,,,,,1000.0,15435.0,3944746.0,3299939.0,0.83654,0.83654,0.432022,5491.77,7053.1,0.0028
,S3,,,,,,,,,,,,,,,,,2500.0,15435.0,3944746.0,3399356.0,0.861743,0.861743,0.445037,5491.77,7053.1,0.001
,S3,,,,,,,,,,,,,,,,,5000.0,15435.0,3944746.0,3584901.0,0.908779,0.908779,0.469328,5491.77,7053.1,0.0014
,S3,,,,,,,,,,,,,,,,,10000.0,15435.0,3944746.0,3850951.0,0.976223,0.976223,0.504159,5491.77,7053.1,0.0011
