strategy,total_candidate_pairs,avg_candidates_per_s1,median_candidates_per_s1,s1_with_zero_candidates,s1_zero_candidate_pct,true_matches_recalled,total_true_matches,true_match_recall,reduction_ratio,max_candidates_for_one_s1,p95_candidates_per_s1
exact_norm_name -> S2,7411733,7.85,2.0,1263179,57.2398,510592,7638365,0.066846,0.999999,414,38.0
exact_norm_name -> S3,7899506,8.05,2.0,1225186,55.5181,531792,7638365,0.069621,0.999999,425,38.0
name_prefix_5 -> S2,7554519321,3447.43,850.0,15471,0.7011,2761145,7638365,0.361484,0.99932,41215,12723.0
name_prefix_5 -> S3,8351305639,3811.14,863.0,15535,0.704,2892759,7638365,0.378714,0.999284,49404,14364.0
name_prefix_10 -> S2,1652754555,814.1,15.0,173127,7.8451,2000065,7638365,0.261845,0.999851,29297,7125.0
name_prefix_10 -> S3,1694640033,835.03,16.0,173858,7.8782,2061789,7638365,0.269925,0.999855,29498,7046.0
name_first_token -> S2,6196647752,2964.16,827.0,5136,0.2327,2432209,7638365,0.31842,0.999442,41035,9561.0
name_first_token -> S3,6926849322,3313.51,831.0,5173,0.2344,2554039,7638365,0.33437,0.999406,51992,10277.0
country + name_prefix5 -> S2,6129579848,2800.54,749.0,18106,0.8205,2761145,7638365,0.361484,0.999448,41204,10066.0
country + name_prefix5 -> S3,6714223391,3067.94,769.0,18307,0.8296,2892759,7638365,0.378714,0.999424,49393,10238.0
country + norm_name -> S2,7382915,7.83,2.0,1263995,57.2767,510592,7638365,0.066846,0.999999,414,38.0
country + norm_name -> S3,7844659,8.0,2.0,1225850,55.5482,531792,7638365,0.069621,0.999999,425,38.0
exact_norm_address -> S2,505873,1.47,1.0,1861525,84.3532,413044,7638365,0.054075,1.0,19,3.0
exact_norm_address -> S3,205981,1.04,1.0,2009463,91.0569,170902,7638365,0.022374,1.0,6,1.0
country + norm_addr -> S2,505873,1.47,1.0,1861525,84.3532,413044,7638365,0.054075,1.0,19,3.0
country + norm_addr -> S3,205981,1.04,1.0,2009463,91.0569,170902,7638365,0.022374,1.0,6,1.0
combined (name OR addr OR country+prefix5) -> S2,6129590214,2777.57,,16358,0.7412,2865706,7638365,0.375173,0.999448,41204,
combined (name OR addr OR country+prefix5) -> S3,6714242443,3042.5,,16822,0.7623,3038141,7638365,0.397748,0.999424,49393,
