s1_id,matched_id,source,s1_name,o_name,s1_addr,o_addr,name_sim,addr_sim,combined_sim,difficulty_score,case_type,s2_id,s2_name,s2_addr,danger_score
S1-627736066,S3-575071279,S3,Invictus & Co,Co & Invimsmtus,"Kolkata, Howrah, West Bengal, 17C Lake Road Ground Floor","No 17C Lake Road Ground Floor, Howrah, Kolkata, পশ্চিমবঙ্গ",0.0,0.1273,0.0636,0.9364,hard_positive,,,,
S1-144788927,S3-650657239,S3,Southern Consulting Limited,सदर्न कंसल्टिंग लिमिटेड,"501, Floor-5, Plot-368/370, Vyapar Bhavan, Narsi Natha Street, Katha Bazar Masjid Station, Chinchbunder, Mumbai, Maharashtra","501, Mumbai, MH",0.0741,0.1121,0.0931,0.9069,hard_positive,,,,
S1-272351912,S3-65710282,S3,DEW Spire Corp,Lumjax,"Spokane, WA, 2609 Westover Road","2609 Westover Road, Spokane, Washington",0.0,0.1892,0.0946,0.9054,hard_positive,,,,
S1-869658100,S3-610588056,S3,Laxmi Investments Private Limited,लक्ष्मी इन्वेस्टमेंट्स प्राइवेट लिमिटेड,"Kalyan, Shankheshwar Presidency, Bldg No. 3, Tawari Pada, Near R.T.O., Kalyan - West, Thane, Maharashtra, 602/A","02/A, Thane, MH",0.0811,0.1111,0.0961,0.9039,hard_positive,,,,
S1-50142763,S2-959466871,S2,Advance & Co,Belojax,"Plot No.87P, Office No. 107 First Floor, Shiv Shakti Complex, Mili Park, Halvad Road, Mahendranagar, Morbi, Rajkot, Gujarat","Gujarat, RAJKOT, DOOR NO 87P",0.0714,0.1228,0.0971,0.9029,hard_positive,,,,
S1-727424687,S3-436095307,S3,Eastern Seven Technology Private Limited,ઈસ્ટર્ન સેવન ટેક્નોલોજી પ્રાઇવેટ લિમિટેડ,"15, Sundaram Bunglows, Nr Shivam Tenament Opp. Krishna Vihar Rd, Nicol Naroda Road, Ahmedabad, Gujarat","13, Ahmedabad, ગુજરાત",0.075,0.125,0.1,0.9,hard_positive,,,,
S1-796967925,S3-140339931,S3,Mmk Fashions Pvt Ltd,Mmk Ltd Pvt [Fashions],"Plot No: 102, Hyderabad, Telangana, 2Nd Floor, Road No:7, Sagar Society, Opp: Bachapan School, Ban, Jara Hills",,0.2,0.0,0.1,0.9,hard_positive,,,,
S1-795047694,S2-195311814,S2,Elsinore Fisher Total Bce,Zetaarcveo,"TN, Chattanooga, 4604 Mission Road","4604 MISSION RD, CHATTANOOGA, TN",0.12,0.0938,0.1069,0.8931,hard_positive,,,,
S1-265392356,S2-644844388,S2,Tirupati Impex Pvt Ltd,તિરુપતિ ઇમ્પેક્સ પ્રા. લિ.,"204, Aastha Corporate Capital, Shyam Shrushti, Beside Vip Plaza, Vesu Vip Road, Surat, Gujarat","204, SURAT, ગુજરાત",0.0909,0.125,0.108,0.892,hard_positive,,,,
S1-397955896,S2-671724890,S2,Best Impex Private Limited,बेस्ट इम्पेक्स प्राइवेट लिमिटेड,"Hd-336, Wework 247 Park, 13Th Floor, Vikhroli Corporate Park, L.B.S. Marg, Gandhi Nagar, Vikhroli West, Mumbai, Maharashtra","HD-33, MUMBAI, महाराष्ट्र",0.0968,0.1228,0.1098,0.8902,hard_positive,,,,
